mlb,verifeid_photo,pegar_foto,marca_dagua,texto_na_foto,path_file_photo
MLB1162330580,False,False,False,False,MLB1162330580_PHOTOID855494-MLB31098342562_062019_1.jpg
MLB1167627304,False,False,False,False,MLB1167627304_PHOTOID708315-MLB73711367116_012024_0.jpg
MLB1167627304,False,False,False,False,MLB1167627304_PHOTOID785828-MLB73711367112_012024_2.jpg
MLB1167627304,False,False,False,False,MLB1167627304_PHOTOID843982-MLB70969875536_082023_5.jpg
MLB1167627304,False,False,False,False,MLB1167627304_PHOTOID846170-MLB70969905100_082023_1.jpg
MLB1167627304,False,False,False,False,MLB1167627304_PHOTOID905733-MLB75962785626_052024_3.jpg
MLB1167627304,False,False,False,False,MLB1167627304_PHOTOID956513-MLB76453064446_052024_4.jpg
MLB1174070584,False,False,False,False,MLB1174070584_PHOTOID692219-MLB48485243484_122021_2.jpg
MLB1174070584,False,False,False,False,MLB1174070584_PHOTOID728274-MLB48485188793_122021_0.jpg
MLB1174070584,False,False,False,False,MLB1174070584_PHOTOID996653-MLB48485165960_122021_1.jpg
MLB1175631190,False,False,False,False,MLB1175631190_PHOTOID628822-MLB75886184019_042024_1.jpg
MLB1175631190,False,False,False,False,MLB1175631190_PHOTOID633838-MLB75886785001_042024_2.jpg
MLB1175631190,False,False,False,False,MLB1175631190_PHOTOID656343-MLB75886785059_042024_4.jpg
MLB1175631190,False,False,False,False,MLB1175631190_PHOTOID718266-MLB75886509663_042024_3.jpg
MLB1175631190,False,False,False,False,MLB1175631190_PHOTOID841050-MLB75886598643_042024_0.jpg
MLB1176012643,False,False,False,False,MLB1176012643_PHOTOID764921-MLB74107642991_012024_3.jpg
MLB1176012643,False,False,False,False,MLB1176012643_PHOTOID793211-MLB74108017985_012024_1.jpg
MLB1176012643,False,False,False,False,MLB1176012643_PHOTOID838253-MLB74002370990_012024_4.jpg
MLB1176012643,False,False,False,False,MLB1176012643_PHOTOID960793-MLB74107750941_012024_2.jpg
MLB1176012643,False,False,False,False,MLB1176012643_PHOTOID976464-MLB74107849453_012024_0.jpg
MLB1176426434,False,False,False,False,MLB1176426434_PHOTOID659786-MLB75986372427_042024_1.jpg
MLB1176426434,False,False,False,False,MLB1176426434_PHOTOID660155-MLB75957693852_052024_2.jpg
MLB1176426434,False,False,False,False,MLB1176426434_PHOTOID761574-MLB75986382577_042024_4.jpg
MLB1176426434,False,False,False,False,MLB1176426434_PHOTOID798323-MLB75986293441_042024_0.jpg
MLB1176426434,False,False,False,False,MLB1176426434_PHOTOID963482-MLB77735150560_072024_3.jpg
MLB1176681936,False,False,False,False,MLB1176681936_PHOTOID630450-MLB74004125984_012024_3.jpg
MLB1176681936,False,False,False,False,MLB1176681936_PHOTOID791165-MLB74109625827_012024_4.jpg
MLB1176681936,False,False,False,False,MLB1176681936_PHOTOID896866-MLB74004175706_012024_0.jpg
MLB1176681936,False,False,False,False,MLB1176681936_PHOTOID928111-MLB74003752364_012024_2.jpg
MLB1176681936,False,False,False,False,MLB1176681936_PHOTOID989750-MLB74004125998_012024_1.jpg
MLB1178478148,False,False,False,False,MLB1178478148_PHOTOID602972-MLB73683859007_122023_2.jpg
MLB1178478148,False,False,False,False,MLB1178478148_PHOTOID622440-MLB75711170805_042024_3.jpg
MLB1178478148,False,False,False,False,MLB1178478148_PHOTOID855143-MLB71803599620_092023_4.jpg
MLB1178478148,False,False,False,False,MLB1178478148_PHOTOID882177-MLB71856983111_092023_1.jpg
MLB1178478148,False,False,False,False,MLB1178478148_PHOTOID925388-MLB71803304572_092023_0.jpg
MLB1178483034,False,False,False,False,MLB1178483034_PHOTOID653323-MLB75911983770_042024_2.jpg
MLB1178483034,False,False,False,False,MLB1178483034_PHOTOID677827-MLB76087283133_042024_1.jpg
MLB1178483034,False,False,False,False,MLB1178483034_PHOTOID732845-MLB75912426492_042024_3.jpg
MLB1178483034,False,False,False,False,MLB1178483034_PHOTOID874462-MLB75912446214_042024_4.jpg
MLB1178483034,False,False,False,False,MLB1178483034_PHOTOID920470-MLB76087123947_042024_0.jpg
MLB1181407437,False,False,False,False,MLB1181407437_PHOTOID731852-MLB74804088067_022024_1.jpg
MLB1181407437,False,False,False,False,MLB1181407437_PHOTOID761835-MLB74673865148_022024_0.jpg
MLB1181407437,False,False,False,False,MLB1181407437_PHOTOID801447-MLB74803772885_022024_2.jpg
MLB1181407437,False,False,False,False,MLB1181407437_PHOTOID831752-MLB74804454755_022024_4.jpg
MLB1181407437,False,False,False,False,MLB1181407437_PHOTOID982209-MLB74673548734_022024_3.jpg
MLB1197338625,False,False,False,False,MLB1197338625_PHOTOID837924-MLB74004177318_012024_2.jpg
MLB1197338625,False,False,False,False,MLB1197338625_PHOTOID846037-MLB74109627385_012024_4.jpg
MLB1197338625,False,False,False,False,MLB1197338625_PHOTOID864864-MLB76110848068_052024_3.jpg
MLB1197338625,False,False,False,False,MLB1197338625_PHOTOID906264-MLB74004147450_012024_1.jpg
MLB1197338625,False,False,False,False,MLB1197338625_PHOTOID964123-MLB74004236226_012024_0.jpg
